index,Inference Time
0,7.205631971359253
1,4.851140260696411
2,6.33380389213562
3,5.032982587814331
4,5.300870180130005
5,5.4611496925354
6,5.168041229248047
7,5.942902565002441
8,4.984060764312744
9,5.541768312454224
10,5.571249723434448
11,5.960758447647095
12,6.119215726852417
13,5.8320183753967285
14,6.7952964305877686
15,5.770777940750122
16,6.091983079910278
17,6.141294479370117
18,5.92442774772644
19,6.032227993011475
20,5.404358148574829
21,6.189919471740723
22,5.405742406845093
23,5.511534690856934
24,5.963628530502319
25,5.767277479171753
26,5.512941360473633
27,5.471855401992798
28,5.809956073760986
29,5.177345275878906
30,5.706552267074585
31,5.777874708175659
32,7.881540775299072
33,8.838404417037964
34,7.674489974975586
35,8.011757612228394
36,5.85258150100708
37,5.628343820571899
38,5.874186038970947
39,6.0192811489105225
40,4.9894468784332275
41,6.298710584640503
42,5.399883031845093
43,6.268489360809326
44,7.269697427749634
45,5.340513229370117
46,5.56894063949585
47,4.597066402435303
48,4.584563493728638
49,4.603008985519409
50,6.1065285205841064
51,4.46834659576416
52,4.1715381145477295
53,5.74139928817749
54,6.327820539474487
55,5.967856168746948
56,5.563778638839722
57,6.520966529846191
58,5.7659807205200195
59,5.994863986968994
60,5.149063348770142
61,5.1667094230651855
62,4.664236545562744
63,4.687828779220581
64,5.10860013961792
65,5.53314733505249
66,4.653008699417114
67,5.129685163497925
68,5.306559801101685
69,5.1373820304870605
70,4.90347146987915
71,4.526500225067139
72,5.540214538574219
73,5.411263704299927
74,5.280502080917358
75,4.918275594711304
76,4.211045026779175
77,4.97270131111145
78,4.240081548690796
79,4.8495635986328125
80,4.178096055984497
81,4.395991802215576
82,3.9940497875213623
83,3.9063527584075928
84,4.520721435546875
85,4.745954751968384
86,4.3362791538238525
87,4.191779851913452
88,4.438182353973389
89,4.748730421066284
90,3.675961971282959
91,3.882751703262329
92,4.271524906158447
93,4.617011308670044
94,4.243691682815552
95,4.149847745895386
96,4.003771066665649
97,4.1007866859436035
98,4.069150924682617
99,4.71666407585144
