index,Inference Time
0,1.7656395435333252
1,0.9046986103057861
2,0.5812985897064209
3,0.508136510848999
4,1.1319761276245117
5,0.5017731189727783
6,0.644909143447876
7,0.5127644538879395
8,0.6713018417358398
9,0.8834400177001953
10,1.0788769721984863
11,0.6445848941802979
12,0.4854147434234619
13,0.4943985939025879
14,0.4609224796295166
15,0.7161753177642822
16,0.6264352798461914
17,0.955768346786499
18,0.7693197727203369
19,0.6130328178405762
20,0.3950021266937256
21,0.3913400173187256
22,0.5692684650421143
23,0.46062541007995605
24,1.2208869457244873
25,0.4885282516479492
26,0.3867170810699463
27,0.40310072898864746
28,0.5342974662780762
29,0.5182313919067383
30,1.2745704650878906
31,0.8497569561004639
32,0.892876148223877
33,0.7237927913665771
34,1.129608392715454
35,2.071101427078247
36,0.98484206199646
37,0.6920657157897949
38,0.7254397869110107
39,0.8059022426605225
40,0.7873005867004395
41,0.5625686645507812
42,0.48575806617736816
43,0.624678373336792
44,1.361858606338501
45,0.9206256866455078
46,1.146059274673462
47,1.2596158981323242
48,0.7525410652160645
49,0.7676401138305664
50,0.6428544521331787
51,0.9753146171569824
52,0.5823769569396973
53,1.1599366664886475
54,0.6932568550109863
55,0.6960289478302002
56,0.4891188144683838
57,0.4802694320678711
58,0.9606785774230957
59,0.4754629135131836
60,0.46408581733703613
61,0.6512646675109863
62,0.6546709537506104
63,0.5478527545928955
64,0.6758880615234375
65,0.45879554748535156
66,0.5640420913696289
67,0.5488710403442383
68,0.6144809722900391
69,1.296884298324585
70,1.1762487888336182
71,1.2816846370697021
72,0.8086869716644287
73,0.7836525440216064
74,0.6220309734344482
75,0.6362953186035156
76,0.6266214847564697
77,0.593235969543457
78,0.5347826480865479
79,0.5662307739257812
80,0.9361648559570312
81,0.4695312976837158
82,0.47657084465026855
83,1.6665928363800049
84,0.5741279125213623
85,0.5125753879547119
86,0.47001123428344727
87,0.7368102073669434
88,0.8424997329711914
89,0.8282217979431152
90,0.5911250114440918
91,1.107992172241211
92,0.8032357692718506
93,2.088723659515381
94,1.9164023399353027
95,1.137176513671875
96,1.7296249866485596
97,2.0466578006744385
98,1.1317615509033203
99,0.9747762680053711
